n,time
1000,19.022157
2000,37.889846
3000,56.057966
4000,74.25186500000001
5000,92.68218199999998
6000,111.48767699999996
7000,132.175118
8000,149.55193599999996
9000,188.79177399999992
10000,187.46043299999997
