n,time
1000,0.227043
2000,0.449804
3000,0.6736500000000001
4000,0.8955829999999998
5000,1.1214220000000004
6000,1.357723
7000,1.5994339999999996
8000,1.7889249999999999
9000,2.0076280000000004
10000,2.243297
