n,time
1000,19.570827
2000,38.954977
3000,58.710710000000006
4000,78.18326099999999
5000,110.26836999999998
6000,116.51007600000003
7000,132.16336699999994
8000,162.509501
9000,186.2006140000001
10000,186.85441600000013
