,Fiscal Quarter,Bureau,Base Pay
0,1,5,40326.34
1,1,19,36056.00
2,3,14,5880.32
3,2,9,23831.18
4,3,6,19597.70
5,3,5,16239.13
6,4,9,15319.36
7,4,12,29614.96
8,1,12,33346.92
9,2,5,17091.18
10,3,5,17060.78
11,4,5,25816.00
12,2,3,31576.86
13,1,5,24780.40
14,1,9,23968.83
15,4,5,49936.82
16,4,5,19884.60
17,4,5,21833.60
18,1,5,16295.75
19,3,5,17834.38
20,4,5,17834.60
21,1,3,29275.32
22,3,5,20114.22
23,3,20,37742.40
24,2,12,50061.76
25,2,20,42810.10
26,4,16,52229.10
27,1,3,30664.80
28,3,20,29735.08
29,1,5,30590.60
30,2,20,250.00
31,1,5,51391.72
32,3,1,23026.41
33,4,3,38977.16
34,1,5,36056.00
35,3,5,22986.02
36,4,3,30120.10
37,3,0,21935.34
38,1,5,53508.86
39,1,5,6561.12
40,1,9,17048.54
41,3,3,30779.12
42,2,3,41065.96
43,1,3,29275.28
44,4,3,40529.50
45,3,3,23985.60
46,1,5,35594.90
47,2,5,10934.40
48,1,5,26784.40
49,4,18,75244.68
50,4,12,31470.76
51,4,5,40553.80
52,4,5,56259.23
53,2,3,37432.22
54,1,20,39251.02
55,3,20,17854.40
56,4,9,28338.98
57,2,3,29275.68
58,1,3,30871.20
59,4,5,13034.58
60,2,3,25349.00
61,4,5,63289.63
62,3,20,36664.64
63,1,6,21885.04
64,4,19,23564.88
65,3,5,18064.82
66,4,5,26037.99
67,3,16,43169.22
68,1,3,34035.30
69,1,20,12558.56
70,4,5,24948.00
71,4,1,59197.60
72,1,3,33160.16
73,4,9,13326.97
74,1,5,16548.72
75,2,3,33551.02
76,2,3,30742.86
77,3,5,17651.81
78,1,9,24980.58
79,3,8,9291.56
80,1,3,25691.92
81,3,22,30433.94
82,2,5,37003.42
83,4,20,42993.70
84,2,5,28356.30
85,3,6,28329.60
86,4,3,14175.28
87,1,5,36019.22
88,2,3,37339.46
89,4,3,19803.00
90,1,3,27337.57
91,4,5,18405.73
92,1,5,29564.20
93,1,3,26032.89
94,1,3,25039.72
95,2,3,41990.12
96,4,3,34152.76
97,2,20,27000.78
98,1,3,27071.63
99,1,3,26032.89
100,3,0,12006.37
101,3,9,21182.13
102,3,3,31284.50
103,4,3,29510.86
104,4,0,17534.18
105,3,13,11776.00
106,4,8,30420.34
107,4,5,45047.00
108,4,20,34701.14
109,3,20,15913.60
110,3,3,24602.32
111,1,9,16720.38
112,4,3,38977.12
113,2,12,50756.08
114,3,20,33852.12
115,3,20,10692.97
116,4,3,29349.67
117,3,5,13246.80
118,1,12,46763.17
119,2,19,49672.00
120,3,5,8359.95
121,1,5,26875.98
122,3,1,49262.40
123,4,3,19553.82
124,3,3,33408.96
125,4,3,35117.60
126,4,5,24445.94
127,3,3,23416.60
128,4,3,38977.18
129,1,3,19948.80
130,4,18,33384.88
131,4,14,50792.02
132,2,20,41848.88
133,4,5,29198.60
134,4,5,10346.22
135,1,7,20874.28
136,3,20,28201.44
137,4,20,17568.70
138,3,9,13412.40
139,4,5,20619.25
140,4,1,50632.86
141,4,5,27716.80
142,4,1,50632.92
143,3,3,30100.80
144,2,3,35117.60
145,3,3,21589.19
146,4,5,21419.43
147,4,20,15805.19
148,3,20,250.00
149,2,3,39186.52
150,2,3,29507.00
151,3,5,10182.22
152,4,9,26408.46
153,3,3,32549.84
154,4,5,48042.94
155,4,3,19043.50
156,4,5,17686.20
157,4,3,38977.20
158,2,5,36449.06
159,3,7,55134.18
160,4,9,9186.80
161,2,5,19561.46
162,3,12,13632.24
163,2,5,24376.60
164,3,5,16897.40
165,3,5,44132.36
166,3,3,40089.30
167,3,5,13791.64
168,1,5,22222.30
169,4,3,18247.30
170,3,12,37629.14
171,3,5,20317.36
172,4,3,35977.66
173,4,5,26496.57
174,4,7,31603.62
175,4,3,27263.96
176,2,20,42810.12
177,4,1,50632.88
178,2,3,48840.10
179,2,5,46628.48
180,4,3,29275.58
181,1,3,29880.02
182,3,5,52647.80
183,3,13,24647.28
184,1,1,26004.08
185,3,6,33877.54
186,4,3,42138.88
187,1,19,36056.00
188,1,5,46227.68
189,1,5,23417.90
190,2,6,49238.46
191,3,21,43728.00
192,4,8,126.86
193,4,3,47642.84
194,2,20,34378.70
195,4,3,16902.90
196,4,5,5053.20
197,4,12,35343.60
198,4,20,82258.82
199,1,12,25320.80
200,3,0,33846.16
201,2,3,42736.12
202,2,5,26171.90
203,2,3,37339.46
204,3,5,121899.60
205,3,9,21796.86
206,1,12,26876.04
207,1,20,34255.64
208,2,12,19704.16
209,2,3,3658.24
210,3,3,48393.20
211,1,3,26461.39
212,1,5,19735.96
213,2,5,25289.96
214,1,5,23431.00
215,3,5,21028.10
216,3,5,15904.13
217,2,12,38394.72
218,4,5,41994.44
219,1,3,19153.76
220,4,3,20325.90
221,4,12,19277.20
222,2,3,34526.64
223,1,5,124113.10
224,3,3,30100.80
225,4,5,34235.62
226,1,20,30496.89
227,1,20,36060.36
228,3,5,42170.84
229,3,12,28324.80
230,1,6,22316.74
231,2,3,38033.28
232,3,20,23742.78
233,4,12,67784.68
234,1,14,40384.60
235,2,9,21693.32
236,1,5,0.00
237,1,9,31382.58
238,1,3,23426.46
239,1,5,74800.00
240,1,3,20870.09
241,1,0,22917.66
242,3,9,15081.00
243,3,5,79617.44
244,3,20,5420.34
245,3,5,44898.96
246,3,20,17126.70
247,3,12,53736.46
248,2,3,24809.92
249,1,9,18128.38
250,1,3,30151.84
251,4,5,34817.37
252,3,0,24972.80
253,4,3,48599.24
254,1,20,22310.49
255,3,5,21041.21
256,1,12,21943.09
257,4,1,26695.22
258,2,5,36847.84
259,4,5,66757.64
260,2,5,30365.98
261,2,23,39963.00
262,4,3,18312.70
263,3,5,11178.66
264,1,3,39666.50
265,4,5,34679.42
266,4,20,25163.77
267,3,9,25000.80
268,4,3,27983.20
269,4,3,20325.90
270,1,20,30496.91
271,1,9,16122.65
272,4,5,25308.02
273,3,5,31020.00
274,1,3,33160.16
275,1,9,20386.22
276,3,5,31348.62
277,4,9,30625.00
278,3,5,24186.41
279,3,9,21736.94
280,4,3,19043.49
281,2,5,37598.74
282,1,1,51691.96
283,1,0,28258.30
284,1,5,31948.98
285,3,3,18889.30
286,2,5,26132.38
287,2,5,39963.00
