,Fiscal Quarter,Bureau,Base Pay
45130,3,20,15166.12
45131,4,12,36886.08
45132,3,20,0.00
45133,1,7,16132.33
45134,3,3,23985.60
45135,3,3,21657.20
45136,3,0,26890.62
45137,1,20,37542.86
45138,1,5,25932.58
45139,2,3,11992.80
45140,4,5,1507.90
45141,1,20,896.26
45142,3,20,22143.98
45143,4,20,17808.58
45144,1,12,29954.90
45145,1,8,21471.90
45146,2,0,39355.66
45147,2,3,43451.74
45148,3,23,21683.56
45149,3,3,35856.14
45150,3,3,35079.04
45151,2,3,35117.60
45152,4,12,17421.37
45153,3,5,36538.00
45154,1,5,35890.46
45155,4,3,19520.10
45156,2,5,116239.68
45157,3,5,17212.72
45158,2,3,48840.08
45159,4,3,16164.67
45160,1,20,19999.03
45161,2,8,31104.68
45162,2,20,43741.60
45163,1,5,63674.30
45164,4,5,9974.65
45165,1,5,15059.36
45166,1,9,20789.35
45167,2,5,34468.36
45168,2,20,25971.64
45169,1,6,15464.76
45170,3,5,16208.20
45171,3,5,31091.02
45172,1,5,24374.87
45173,1,14,28344.67
45174,4,3,50419.98
45175,1,7,19941.44
45176,3,3,20477.64
45177,3,20,33683.88
45178,2,9,30625.28
45179,2,5,24931.20
45180,3,5,37706.44
45181,3,20,35330.80
45182,3,12,21365.74
45183,1,20,28827.17
45184,4,3,27983.20
45185,3,5,30624.58
45186,2,13,44139.20
45187,4,7,71608.34
45188,1,13,26089.66
45189,2,3,4490.76
45190,2,3,18764.18
45191,1,20,56643.18
45192,2,12,33390.50
45193,1,3,25039.34
45194,1,20,26720.08
45195,4,8,15863.17
45196,1,5,112162.08
45197,4,20,58075.26
45198,1,3,34926.72
45199,1,5,56536.02
45200,4,19,25396.00
45201,1,5,44707.02
45202,1,3,34035.34
45203,2,5,116657.80
45204,4,8,15706.82
45205,1,9,24377.58
45206,3,3,22521.00
45207,2,3,40753.70
45208,1,3,21371.20
45209,4,18,33384.90
45210,3,20,28476.60
45211,2,12,54436.46
45212,1,7,8789.28
45213,1,5,125315.80
45214,3,12,29076.36
45215,3,12,9683.52
45216,4,5,96869.39
45217,4,20,39480.66
45218,4,3,18051.08
45219,3,3,21373.20
45220,1,3,25034.80
45221,3,5,20433.04
45222,3,12,7385.39
45223,3,12,57050.94
45224,1,9,24971.20
45225,1,19,48105.60
45226,3,5,31315.34
45227,3,3,35079.02
45228,2,5,17040.80
45229,3,5,20757.58
45230,4,5,30348.32
45231,4,3,57394.68
45232,3,9,30032.64
45233,1,20,32760.54
45234,4,8,27975.24
45235,2,5,31470.64
45236,4,22,16280.33
45237,4,3,41065.96
45238,1,5,15493.59
45239,3,3,23165.31
45240,2,5,52961.86
45241,3,5,63981.12
45242,3,8,2136.40
45243,2,5,36863.66
45244,3,12,35169.44
45245,3,3,23985.60
45246,3,5,18064.80
45247,4,12,16411.49
45248,1,20,30496.89
45249,3,5,19725.89
45250,4,3,19802.94
45251,2,19,18612.28
45252,2,6,26700.80
45253,2,3,37339.48
45254,1,20,22354.34
45255,1,1,55995.02
45256,1,20,13401.74
45257,2,5,62034.28
45258,1,5,104508.02
45259,1,5,41914.02
45260,3,12,28860.12
45261,3,20,22655.64
45262,3,3,32549.78
45263,4,3,19859.80
45264,2,5,36549.78
45265,4,3,20325.90
45266,3,5,28148.82
45267,2,3,33551.00
45268,1,3,10152.80
45269,3,20,28476.60
45270,2,5,33256.36
45271,2,12,51776.48
45272,1,3,24071.85
45273,1,12,21832.30
45274,1,20,17466.98
45275,2,20,40397.36
45276,4,3,45684.80
45277,1,12,25830.36
45278,3,9,26250.00
45279,3,9,16959.01
45280,3,13,1680.00
45281,3,5,21589.36
45282,1,5,58293.72
45283,4,5,16050.30
45284,2,3,34430.90
45285,1,12,21770.58
45286,2,20,250.00
45287,4,5,12946.33
45288,4,3,44863.94
45289,1,3,20944.22
45290,2,5,20773.42
45291,3,3,23632.20
45292,4,19,23219.20
45293,1,3,31887.94
45294,4,5,24364.52
45295,3,5,11515.12
45296,2,3,44558.06
45297,3,5,32819.20
45298,4,20,42993.76
45299,2,3,35117.60
45300,1,12,18286.82
45301,4,3,39485.62
45302,3,9,19500.01
45303,4,5,114641.33
45304,1,5,16414.36
45305,1,12,34283.00
45306,3,5,19725.93
45307,4,5,107857.38
45308,4,5,26961.38
45309,2,23,28024.00
45310,1,21,44256.00
45311,1,3,37107.60
45312,1,5,9328.30
45313,4,3,17273.21
45314,1,9,17045.68
45315,3,5,19952.72
45316,4,3,19274.46
45317,1,5,30585.32
45318,3,3,23757.54
45319,2,5,50924.88
45320,1,5,43874.98
45321,4,5,29011.48
45322,4,20,10713.47
45323,1,5,23550.00
45324,3,5,18083.68
45325,1,3,30426.58
45326,3,3,30890.84
45327,2,5,8352.80
45328,2,13,47107.20
45329,4,5,15246.38
45330,1,5,25932.60
45331,3,16,47885.96
45332,1,20,19404.74
45333,1,3,1525.44
45334,4,3,21287.00
45335,1,3,29275.32
45336,3,3,40089.30
45337,2,1,47334.72
45338,2,3,41990.14
45339,1,12,26882.37
45340,2,9,25388.16
45341,4,5,37069.16
45342,3,5,21332.50
45343,2,5,19682.04
45344,1,5,13317.57
45345,3,5,29626.78
45346,2,3,22669.50
45347,3,3,35199.44
45348,4,5,32079.60
45349,3,20,35699.50
45350,4,5,10123.00
45351,1,23,18679.20
45352,3,5,10358.74
45353,3,3,21935.36
45354,4,19,45024.00
45355,3,9,25000.80
45356,1,19,36000.00
45357,4,3,16839.02
45358,3,3,30890.86
45359,1,5,34970.30
45360,4,5,70008.40
45361,3,3,31300.80
45362,3,5,45386.36
45363,2,5,62909.00
45364,2,20,32572.70
45365,4,12,33909.36
45366,1,3,31354.56
45367,1,3,35888.82
45368,2,5,50526.00
45369,1,3,32743.20
45370,2,5,53488.80
45371,2,8,730.00
45372,3,12,22647.60
45373,1,3,20084.56
45374,3,5,30638.88
45375,4,5,37357.54
45376,1,5,58293.80
45377,4,3,38977.14
45378,4,5,56021.00
45379,3,9,1501.60
45380,3,5,13732.57
45381,4,3,36039.40
45382,2,5,31172.40
45383,1,21,44226.56
45384,2,8,62361.96
45385,1,20,23243.16
45386,2,5,68259.74
45387,4,1,47499.20
45388,3,14,19076.00
45389,3,5,29071.54
45390,4,5,25766.09
45391,4,12,16009.04
45392,4,7,24609.68
45393,1,3,26032.89
45394,3,1,46799.28
45395,1,9,13910.22
45396,2,20,24913.26
45397,4,5,27569.31
45398,1,5,37652.99
45399,3,3,297.00
45400,4,5,26444.56
45401,2,9,18219.20
45402,2,9,26169.64
45403,3,5,28751.47
45404,4,3,15914.94
45405,1,3,26032.89
45406,3,5,46713.62
45407,3,20,18488.02
45408,3,20,15913.61
45409,2,9,27768.20
45410,4,5,23119.98
45411,2,3,33387.52
45412,3,5,15898.44
45413,3,1,24079.18
45414,2,1,7914.24
45415,4,9,20275.39
45416,3,3,29614.20
45417,1,20,24650.76
45418,2,5,27438.38
45419,4,5,0.00
45420,4,20,16035.93
45421,3,1,22648.31
45422,1,5,34917.42
45423,2,9,62006.74
45424,4,3,19520.09
45425,4,5,49443.46
45426,1,5,14279.56
45427,2,3,31663.12
45428,2,5,27413.88
45429,1,3,28166.26
45430,4,3,18312.70
45431,4,5,16050.29
45432,1,3,25034.82
45433,4,3,15266.58
45434,3,5,25455.58
45435,2,20,4086.56
45436,2,3,35907.20
45437,4,5,11335.80
45438,4,0,52039.62
45439,2,20,250.00
45440,2,5,38827.06
45441,3,20,22508.34
45442,4,6,26834.06
45443,3,5,50243.94
45444,1,3,32693.84
45445,1,20,19030.63
45446,2,9,24573.02
45447,1,5,19040.72
45448,2,3,22006.38
45449,4,3,11768.12
45450,1,3,32743.06
45451,4,20,15242.79
45452,1,3,30664.80
45453,1,17,18402.37
45454,3,5,34498.78
45455,2,3,38829.06
45456,1,12,34845.68
45457,2,3,54982.34
45458,4,19,27020.00
45459,4,5,16255.46
45460,4,5,10895.65
45461,1,5,32779.75
45462,4,5,13985.02
45463,3,9,17081.32
45464,3,3,22237.62
45465,3,3,25914.56
45466,2,9,23125.18
45467,2,5,48345.68
45468,3,3,24430.88
45469,4,3,24908.11
45470,1,3,30520.34
45471,1,3,27631.20
45472,3,3,20738.88
45473,2,3,32256.00
45474,3,19,11124.00
45475,3,3,30100.80
45476,1,19,4321.18
45477,1,5,23417.02
45478,3,3,22600.96
45479,2,3,37339.44
45480,2,5,28124.32
45481,2,3,39485.60
45482,2,3,26886.28
45483,1,3,34196.84
45484,4,5,23787.84
45485,2,5,49924.90
45486,1,5,16567.45
45487,2,3,38772.22
45488,3,3,30690.22
45489,2,3,39842.78
45490,3,5,7192.30
45491,3,5,20224.87
45492,4,3,37974.76
45493,1,7,33988.40
45494,1,5,21726.28
45495,3,3,6558.80
45496,2,5,41337.82
45497,2,3,29694.84
45498,1,20,1471.29
45499,2,5,42006.84
45500,2,20,17917.76
45501,1,3,36026.78
45502,4,20,25164.22
45503,1,5,23417.88
45504,1,12,58827.52
45505,2,5,109485.60
45506,3,5,26719.20
45507,3,3,22237.60
45508,2,3,40373.36
45509,1,8,26082.80
45510,2,5,0.00
45511,2,5,24445.40
45512,3,3,21657.20
45513,2,5,28316.40
45514,3,3,23115.60
45515,4,8,3317.36
45516,1,5,29863.80
45517,3,3,17361.92
45518,4,3,38851.02
45519,1,3,25034.80
45520,3,3,19129.60
45521,2,5,44250.98
45522,4,3,18745.94
45523,2,20,27705.04
45524,1,3,29287.66
45525,2,13,4864.00
45526,4,5,39879.70
45527,4,20,125.00
45528,2,3,36850.60
45529,4,3,28746.20
45530,2,5,34799.12
45531,4,3,37974.74
45532,3,3,24354.38
45533,4,3,39485.64
45534,4,5,18901.40
45535,4,23,19422.20
45536,4,7,13226.60
45537,4,1,21272.01
45538,1,5,41168.02
45539,2,1,19704.12
45540,3,5,25026.20
45541,3,5,11168.90
45542,4,20,19896.50
45543,4,3,41218.98
45544,4,3,22786.99
45545,1,20,250.00
45546,3,6,33291.12
45547,1,3,30664.80
45548,1,23,28258.23
45549,4,20,0.00
45550,2,3,41441.26
45551,2,9,19579.00
45552,1,12,50145.69
45553,2,5,21129.14
45554,1,20,17795.20
45555,3,20,38995.70
45556,4,9,14912.13
45557,4,17,26780.12
45558,2,5,50526.40
45559,2,12,32564.56
45560,2,20,40077.04
45561,4,20,2413.98
45562,1,19,21072.66
45563,4,3,14592.20
45564,2,19,50478.40
45565,1,5,28855.80
45566,2,3,40529.62
45567,2,5,20825.60
45568,2,6,28596.86
45569,3,8,17501.62
45570,1,5,40825.10
45571,3,5,32637.60
45572,3,5,12672.00
45573,2,5,46300.80
45574,4,20,19537.67
45575,3,20,36600.98
45576,2,20,250.00
45577,4,9,10348.31
45578,4,5,26142.62
45579,1,3,25034.80
45580,3,3,17361.92
45581,2,3,50011.28
45582,1,20,250.00
45583,2,12,30699.20
45584,4,5,52717.24
45585,1,20,23496.80
45586,3,1,26122.56
45587,1,3,25034.81
45588,4,3,19043.50
45589,4,12,55250.74
45590,4,9,23229.64
45591,1,3,36538.50
45592,3,9,18047.78
45593,2,0,63538.76
45594,1,20,37355.40
45595,1,12,39869.22
45596,3,5,20113.80
45597,3,21,43275.52
45598,4,3,36039.30
45599,1,5,43653.54
45600,4,20,20457.50
45601,1,5,24050.30
45602,2,5,50924.76
45603,1,19,17345.66
45604,1,3,30596.01
45605,3,3,23283.60
45606,2,13,88041.66
45607,4,3,21415.10
45608,4,5,28102.20
45609,3,3,21352.40
45610,4,3,39485.62
45611,1,8,7550.18
45612,2,12,37635.30
45613,2,9,23240.06
45614,3,20,16361.66
45615,3,23,28555.42
45616,2,12,33390.56
45617,2,9,9692.58
45618,2,5,0.00
45619,4,5,11564.80
45620,2,8,5089.22
45621,2,3,32981.34
45622,1,9,19414.65
45623,1,3,35390.78
45624,4,5,29037.40
45625,1,20,14794.58
45626,3,5,10687.68
45627,3,3,19129.60
45628,4,20,22420.30
45629,3,12,20971.46
45630,3,3,16113.38
45631,2,12,34062.54
45632,1,9,16122.65
45633,4,5,52950.80
45634,4,9,15861.40
45635,3,3,7301.44
45636,3,3,20025.43
45637,2,5,28953.34
45638,2,20,40584.58
45639,4,8,7635.40
45640,4,20,20725.05
45641,2,9,27347.08
45642,4,3,26488.00
45643,4,20,30824.76
45644,3,5,76169.76
45645,2,5,20708.50
45646,1,5,17426.80
45647,1,20,31417.80
45648,2,5,41354.94
45649,4,5,19144.74
45650,3,5,80276.00
45651,4,5,37069.20
45652,4,20,20348.55
45653,4,17,17352.96
45654,2,5,48703.38
45655,4,5,42390.94
45656,2,0,65129.18
45657,4,5,107885.36
45658,4,5,67790.53
45659,3,12,61177.94
45660,4,3,38977.16
45661,4,3,30245.50
45662,4,3,20590.51
45663,1,3,20870.16
45664,1,3,31887.96
45665,3,20,14218.99
45666,3,3,27648.00
45667,1,5,46218.04
45668,4,5,25947.17
45669,3,20,27840.53
45670,1,3,17383.48
45671,4,23,59910.12
45672,2,5,37202.72
45673,4,5,25310.84
45674,3,19,43056.00
45675,2,3,36517.60
45676,3,9,19920.02
45677,2,5,57131.90
45678,1,9,15184.80
45679,2,3,35907.20
45680,4,8,14769.43
45681,4,5,20554.41
45682,1,3,32500.03
45683,1,3,26731.52
45684,4,5,58500.00
45685,1,3,27786.24
45686,2,20,250.00
45687,1,1,39588.54
45688,1,9,18128.41
45689,4,3,35267.40
45690,2,3,38683.64
45691,1,5,116666.64
45692,3,9,27890.24
45693,4,20,39230.52
45694,4,3,45684.80
45695,1,1,40971.52
45696,1,5,34499.12
45697,1,20,29909.66
45698,2,3,39186.56
