,Fiscal Quarter,Bureau,Base Pay
134595,1,12,26351.20
134596,3,3,27075.84
134597,1,21,1686.68
134598,3,3,27337.99
134599,1,1,41578.71
134600,1,5,35135.82
134601,4,3,14813.62
134602,1,5,44707.03
134603,3,3,39700.12
134604,4,5,39986.92
134605,1,5,31137.28
134606,4,20,41218.42
134607,4,5,20371.98
134608,1,3,7995.20
134609,3,1,57827.04
134610,4,5,2292.90
134611,3,9,18161.83
134612,2,5,26294.70
134613,4,8,30120.10
134614,1,20,32011.74
134615,2,12,53123.72
134616,3,3,27187.20
134617,3,5,26530.58
134618,3,20,22607.96
134619,1,9,18071.10
134620,1,3,26731.52
134621,2,3,57444.80
134622,4,3,20002.20
134623,3,5,43398.24
134624,3,3,21657.20
134625,2,20,58091.88
134626,3,3,24123.41
134627,2,20,15683.22
134628,2,5,47417.08
134629,4,20,17027.98
134630,2,5,72450.00
134631,3,9,20992.60
134632,1,20,16505.46
134633,2,3,37497.60
134634,4,20,15059.79
134635,3,21,29486.78
134636,4,20,5356.93
134637,2,3,39853.90
134638,3,12,4385.60
134639,2,20,42810.08
134640,2,20,43961.36
134641,3,20,29957.84
134642,3,5,15188.38
134643,1,12,16112.32
134644,4,3,20589.77
134645,1,9,19846.30
134646,4,5,9830.53
134647,2,3,36039.26
134648,2,1,50416.90
134649,4,3,19802.98
134650,1,3,35390.76
134651,4,19,50478.40
134652,1,20,34257.92
134653,3,5,19519.26
134654,3,3,23057.22
134655,1,20,250.00
134656,3,5,15176.00
134657,2,20,27699.84
134658,3,20,41362.56
134659,4,1,17354.69
134660,1,3,36496.40
134661,4,20,15242.77
134662,2,5,51815.90
134663,1,3,26731.52
134664,4,3,799.52
134665,4,3,18383.12
134666,1,19,35480.00
134667,4,5,26808.60
134668,1,1,35196.02
134669,3,5,32204.80
134670,3,3,33256.34
134671,1,3,28148.72
134672,1,20,25063.64
134673,4,5,50427.08
134674,4,0,48288.80
134675,4,5,29796.20
134676,4,5,51437.72
134677,1,6,26807.32
134678,2,5,28860.46
134679,1,20,30496.90
134680,4,20,27667.40
134681,4,3,21961.45
134682,4,3,41994.40
134683,1,12,35722.38
134684,3,5,14562.72
134685,4,5,13001.10
134686,1,12,42330.32
134687,4,5,24877.43
134688,4,8,2612.62
134689,4,3,19554.07
134690,2,20,5130.60
134691,4,19,58441.60
134692,2,9,23240.02
134693,2,3,35003.36
134694,4,5,25106.49
134695,1,17,20844.80
134696,2,5,31238.94
134697,1,20,3559.04
134698,3,3,33844.80
134699,1,5,19117.52
134700,3,5,18253.19
134701,2,5,19686.64
134702,1,20,23678.06
134703,3,19,12903.60
134704,4,23,19936.00
134705,3,20,16311.96
134706,2,3,40368.16
134707,1,5,997.38
134708,1,3,30664.82
134709,1,20,19839.35
134710,1,5,34660.38
134711,2,7,31987.70
134712,2,20,32075.40
134713,1,20,37355.38
134714,4,5,13610.14
134715,2,3,51374.40
134716,1,20,18516.41
134717,1,9,20719.92
134718,1,20,18551.20
134719,4,23,16558.95
134720,1,3,0.00
134721,3,3,33844.80
134722,3,20,36851.56
134723,1,20,3455.20
134724,2,9,22616.14
134725,3,5,45386.36
134726,3,3,21589.86
134727,4,5,35036.20
134728,3,3,40089.34
