,Fiscal Quarter,Bureau,Base Pay
89834,1,5,76909.70
89835,1,5,44223.82
89836,2,3,54549.88
89837,2,3,35491.62
89838,4,3,17686.21
89839,1,3,25034.80
89840,1,3,34035.32
89841,3,5,27125.86
89842,3,3,32140.80
89843,2,5,64269.80
89844,4,3,41219.26
89845,2,5,23613.22
89846,3,19,18100.00
89847,4,5,25378.03
89848,3,0,24742.96
89849,3,5,26688.00
89850,4,3,26900.10
89851,4,5,13561.81
89852,1,6,42330.38
89853,4,20,250.00
89854,1,3,18609.61
89855,3,3,22237.60
89856,2,20,49341.62
89857,3,3,22886.50
89858,2,5,21261.80
89859,1,5,115385.00
89860,2,1,67261.48
89861,4,3,11664.15
89862,2,20,40112.82
89863,4,3,21415.10
89864,2,5,31872.46
89865,3,5,11357.10
89866,3,3,18560.60
89867,2,5,140675.36
89868,2,5,33480.00
89869,4,5,34901.54
89870,2,5,32496.66
89871,1,5,34336.70
89872,1,3,21472.20
89873,3,20,14472.96
89874,1,5,27773.51
89875,4,20,22420.28
89876,3,3,29599.12
89877,2,9,18535.64
89878,4,20,38188.94
89879,3,5,26313.62
89880,3,12,20558.10
89881,2,12,50261.12
89882,1,5,48080.30
89883,4,3,12716.06
89884,3,5,20082.40
89885,4,8,11864.78
89886,1,3,22994.80
89887,2,3,41441.22
89888,3,5,46677.54
89889,2,23,27176.64
89890,2,5,23560.64
89891,1,3,37549.20
89892,3,5,28046.00
89893,3,9,18161.95
89894,2,5,19764.12
89895,2,9,29971.80
89896,1,6,20385.58
89897,1,9,20793.44
89898,4,20,13007.16
89899,1,5,0.00
89900,3,12,14389.27
89901,2,12,35574.42
89902,2,5,40748.90
89903,4,3,34615.94
89904,3,20,33234.84
89905,2,3,58786.88
89906,2,5,50079.36
89907,3,3,11355.00
89908,4,5,13535.76
89909,1,3,8517.12
89910,2,5,22601.60
89911,2,3,24384.72
89912,3,3,20794.48
89913,4,5,19330.71
89914,4,20,64997.74
89915,2,13,74846.10
89916,4,3,19553.82
89917,1,20,250.00
89918,1,23,19438.30
89919,4,20,19476.70
89920,1,21,20651.15
89921,2,20,57414.86
89922,2,6,26131.94
89923,2,3,28236.18
89924,4,3,19043.50
89925,3,19,28512.03
89926,3,12,23875.84
89927,1,20,30766.56
89928,4,3,16802.06
89929,3,3,23985.60
89930,3,12,34191.32
89931,4,5,17235.39
89932,3,3,31300.80
89933,1,3,13902.40
89934,1,3,30828.88
89935,3,3,40089.36
89936,1,3,24435.20
89937,4,12,63767.22
89938,2,3,36517.60
89939,1,12,29704.00
89940,4,5,24069.58
89941,2,21,54992.00
89942,1,9,16275.81
89943,3,5,22380.40
89944,4,3,26040.69
89945,3,3,51893.66
89946,2,3,37497.60
89947,3,20,0.00
89948,4,3,21974.40
89949,2,1,50416.94
89950,1,6,24033.64
89951,3,5,21983.80
89952,2,5,19745.44
89953,3,12,19753.60
89954,3,3,43989.14
89955,1,20,25833.14
89956,1,3,31887.80
89957,3,5,39640.62
89958,4,5,18619.46
89959,2,3,39260.44
89960,4,3,23944.26
89961,2,3,37339.46
89962,4,5,21294.52
89963,3,20,36858.88
89964,3,5,19792.94
89965,2,5,22664.84
89966,4,3,36039.26
89967,3,1,57899.58
89968,4,3,20325.90
89969,3,20,22235.25
89970,1,12,38691.19
89971,4,5,23141.52
89972,3,5,26823.66
89973,3,3,35406.64
89974,3,6,16944.92
89975,1,5,19405.07
89976,3,9,18161.82
89977,4,9,29092.16
89978,3,9,570.64
89979,2,20,27437.22
89980,4,3,19553.80
89981,3,5,107372.40
89982,1,1,58985.08
89983,4,20,17686.20
89984,2,3,49612.60
89985,2,5,24091.00
89986,1,3,21708.18
89987,4,20,16167.14
89988,4,3,18793.60
89989,2,5,32384.72
89990,3,5,28426.08
89991,3,8,27783.52
89992,3,5,29941.54
89993,2,5,134615.32
89994,4,23,56081.66
89995,1,3,24318.34
89996,2,3,32981.30
89997,3,9,16959.00
89998,4,22,23233.32
89999,2,3,30804.40
90000,2,5,35480.52
90001,4,2,41891.22
90002,4,5,26738.80
90003,3,3,40845.68
90004,4,20,45030.80
90005,4,9,18680.38
90006,2,3,38829.08
90007,2,9,29167.64
90008,4,1,30870.00
90009,2,20,39230.28
90010,3,20,22607.94
90011,1,20,11961.34
90012,1,20,31390.33
90013,3,5,20463.84
90014,4,20,14691.60
90015,1,5,36019.20
90016,3,5,27488.42
90017,3,5,45758.34
90018,2,5,57241.34
90019,2,20,48050.92
90020,4,5,48626.16
90021,1,1,41991.16
90022,1,9,37366.88
90023,2,3,32698.44
90024,1,3,35993.28
90025,3,5,31773.20
90026,2,9,27301.38
90027,4,5,93546.35
90028,1,9,52714.02
90029,3,19,64613.10
90030,4,3,49938.56
90031,1,20,4397.60
90032,3,3,7217.93
90033,2,5,36252.26
90034,2,20,33496.10
90035,4,3,16911.87
90036,2,3,37497.60
90037,3,9,15831.11
90038,1,5,23432.14
90039,4,5,34316.94
90040,4,9,15969.84
90041,1,5,81907.00
90042,1,3,50942.86
90043,1,5,16566.94
90044,4,5,11069.34
90045,3,20,23742.72
90046,2,5,28953.26
90047,1,9,22918.94
90048,1,3,20870.12
90049,2,5,23735.72
90050,2,5,22646.02
90051,4,3,14592.20
90052,4,3,9781.52
90053,3,5,27286.58
90054,2,20,26719.84
90055,4,5,10461.58
90056,4,19,44261.60
90057,2,19,22300.32
90058,2,5,17466.98
90059,1,23,30442.42
90060,4,20,17325.74
90061,1,3,26032.91
90062,3,9,10447.60
90063,4,20,9055.83
90064,3,3,22190.62
90065,3,23,24510.72
90066,3,3,23097.43
90067,1,5,13889.70
90068,1,9,0.00
90069,2,3,37339.46
90070,4,3,35117.60
90071,1,1,26004.08
90072,2,5,126462.10
90073,3,5,37775.98
90074,3,12,13629.00
90075,1,5,36960.00
90076,2,23,82384.68
90077,4,8,22752.80
90078,3,7,14461.36
90079,2,14,45263.66
90080,2,3,29746.00
90081,1,23,28024.00
90082,3,5,22290.39
90083,1,5,26249.40
90084,3,9,22858.72
90085,3,5,29091.78
90086,4,5,0.00
90087,3,5,46556.02
90088,1,8,29852.07
90089,3,5,24742.80
90090,1,3,30664.80
90091,4,5,26348.70
90092,3,20,14718.65
90093,2,20,28617.36
90094,2,5,42624.30
90095,4,3,39260.46
90096,2,3,27983.20
90097,4,3,41065.94
90098,2,20,25127.20
90099,4,0,36520.94
90100,4,20,28740.38
90101,2,3,40969.60
90102,1,3,35390.76
90103,4,5,26348.70
90104,4,3,16821.00
90105,2,3,31435.44
90106,4,5,135674.00
90107,3,5,28182.72
90108,1,5,20186.41
90109,4,5,49040.66
90110,2,5,28245.10
90111,3,5,51795.56
90112,4,3,32256.00
90113,1,5,23432.30
90114,1,12,23850.29
90115,1,3,24026.46
90116,4,3,20590.50
90117,1,5,14138.27
90118,2,9,29223.86
90119,4,7,33010.46
90120,3,12,31175.02
90121,3,8,19502.42
90122,2,5,56639.64
90123,2,3,37692.34
90124,4,12,16528.74
90125,2,22,32106.88
90126,3,3,20051.20
90127,3,5,80430.58
90128,4,20,6229.08
90129,1,9,18505.80
90130,2,3,28613.04
90131,4,20,16366.05
90132,3,5,17447.23
90133,3,16,6729.45
90134,1,1,31759.80
90135,2,5,145317.20
90136,1,3,20870.00
90137,4,3,12791.26
90138,4,3,14592.20
90139,2,5,25145.26
90140,1,3,32743.14
90141,3,5,32387.94
90142,4,5,65628.96
90143,4,5,18529.41
90144,4,20,10868.27
90145,4,3,38977.14
90146,2,9,31260.12
90147,1,3,42699.24
90148,4,20,62273.08
90149,3,8,15379.02
90150,4,3,21415.09
90151,2,9,27301.32
90152,3,3,16595.20
90153,4,3,18312.69
90154,2,9,23240.02
90155,3,20,25497.16
90156,2,5,94248.00
90157,3,9,15834.83
90158,3,3,22392.20
90159,3,3,16265.50
90160,4,5,30859.56
90161,1,5,8682.11
90162,3,5,95257.18
90163,3,5,19364.23
90164,3,3,20826.20
90165,2,5,0.00
90166,3,3,26860.80
90167,1,3,25575.22
90168,4,5,14765.87
90169,3,8,14861.14
90170,2,5,31162.68
90171,4,3,37920.32
90172,1,3,32970.76
90173,1,1,25027.38
90174,1,1,21298.16
90175,2,3,40534.24
90176,2,20,250.00
90177,2,5,38116.40
90178,3,24,35040.96
90179,4,3,27583.44
90180,4,20,42993.66
90181,1,3,28892.87
90182,3,9,15257.60
90183,1,20,30482.90
90184,3,9,9394.40
90185,3,20,19795.21
90186,1,9,26742.14
90187,4,3,0.00
90188,3,5,22274.36
90189,4,9,27811.86
90190,3,5,19765.36
90191,4,5,25580.80
90192,1,5,47594.10
90193,4,5,26355.46
90194,2,9,18368.00
90195,4,9,22494.62
90196,4,3,37974.80
90197,4,9,27234.18
90198,4,20,18043.15
90199,1,12,47949.78
90200,3,5,11188.03
90201,4,5,26817.00
90202,2,3,38340.70
90203,4,5,15810.20
90204,1,20,26061.30
90205,1,13,56437.54
90206,4,3,30120.10
90207,4,3,17060.43
90208,4,12,23032.80
90209,1,5,18304.40
90210,4,3,36517.60
90211,4,23,15958.83
90212,1,3,20870.16
90213,2,12,36891.64
90214,2,3,16414.72
90215,1,9,2469.20
90216,3,5,24295.77
90217,3,5,30736.82
90218,1,20,250.00
90219,2,20,63525.24
90220,4,3,14598.71
90221,3,5,19630.78
90222,2,9,31285.90
90223,2,3,45848.44
90224,2,8,28685.50
90225,2,9,31298.70
90226,4,5,14765.87
90227,3,20,21352.60
90228,1,20,41929.52
90229,3,5,18253.20
90230,2,5,20655.48
90231,2,3,29934.80
90232,4,12,24835.86
90233,2,9,27295.68
90234,2,9,25429.60
90235,2,3,69683.60
90236,2,5,28069.82
90237,2,0,47342.40
90238,1,5,58245.04
90239,2,5,16961.22
90240,1,3,29895.38
90241,1,3,27511.02
90242,4,3,9960.90
90243,2,12,20147.40
90244,3,3,21657.20
90245,3,5,57044.40
90246,2,5,26425.92
90247,1,16,32692.30
90248,1,3,28701.74
90249,1,3,25564.20
90250,4,5,36448.36
90251,1,5,34966.17
90252,1,3,30664.80
90253,1,5,20301.64
90254,4,3,40960.70
90255,4,9,26695.08
90256,3,5,38156.22
90257,2,5,27438.40
90258,3,20,35330.80
90259,4,1,40327.60
90260,4,3,39164.14
90261,3,5,12891.80
90262,1,20,250.00
90263,2,22,26150.86
90264,4,3,37302.74
90265,1,5,58293.46
90266,1,5,35802.42
90267,2,8,730.00
90268,2,12,62270.86
90269,4,3,12821.44
90270,4,19,51632.00
90271,4,8,15809.36
90272,2,3,36517.60
90273,1,5,24202.20
90274,4,3,41235.86
90275,4,20,10879.19
90276,3,20,58933.54
90277,2,5,50216.50
90278,2,12,31259.56
90279,1,5,42806.72
90280,1,0,20672.86
90281,1,5,21767.00
90282,1,5,35719.90
90283,2,5,39552.00
90284,1,19,27019.60
90285,4,6,43271.20
90286,1,5,37200.00
90287,2,7,25163.24
90288,4,20,29032.64
90289,2,19,721.12
90290,4,19,22300.50
90291,1,3,25564.00
90292,1,20,250.00
90293,2,3,36814.04
90294,3,5,42947.60
90295,1,5,22274.24
90296,1,12,25830.34
90297,4,3,17271.00
90298,2,5,9742.40
90299,2,3,39485.60
90300,3,5,17548.68
90301,1,3,35859.38
90302,4,3,6145.54
90303,3,20,22785.07
90304,1,3,42437.12
90305,3,3,21834.38
90306,1,20,0.00
90307,2,20,42147.64
90308,2,14,56269.22
90309,2,9,36468.90
90310,2,12,33122.88
90311,2,12,36162.50
90312,1,3,26032.92
90313,2,9,31309.36
90314,4,12,23779.72
90315,4,5,97133.40
90316,4,5,26319.06
90317,4,5,13517.50
90318,3,7,30861.32
90319,1,3,20870.17
90320,3,3,30890.76
90321,3,5,92473.20
90322,1,12,24970.08
90323,3,3,23115.60
90324,1,3,30262.92
90325,3,5,49182.70
90326,2,16,2500.00
90327,2,5,63163.00
90328,1,19,18539.02
90329,4,3,14830.80
90330,1,20,250.00
90331,1,8,26563.50
90332,1,3,24435.20
90333,3,20,16902.16
90334,4,5,52950.48
90335,3,3,26041.64
90336,2,3,38977.12
90337,2,9,30625.20
90338,2,10,32413.92
90339,3,5,37451.96
90340,4,20,42993.76
90341,1,7,46763.50
90342,2,5,34593.82
90343,4,3,35963.32
90344,1,9,16670.06
90345,4,17,23547.30
90346,2,5,32880.58
90347,3,5,52414.40
90348,1,3,35859.40
90349,3,9,20317.22
90350,2,13,40753.52
90351,4,3,19553.81
90352,3,5,29965.00
90353,3,20,36851.56
90354,4,9,15969.93
90355,3,3,23985.60
90356,4,5,25573.03
90357,4,3,24350.90
90358,1,5,37724.44
90359,1,5,20186.40
90360,1,3,19502.06
90361,1,3,44938.08
90362,2,3,41441.30
90363,1,5,100082.40
90364,2,5,134635.22
90365,3,3,35199.40
90366,1,5,23957.71
90367,4,22,32079.14
90368,4,3,39937.14
90369,2,24,43062.86
90370,2,3,32510.14
90371,1,3,5390.88
90372,4,5,18258.81
90373,4,3,19553.80
90374,4,17,65787.52
90375,4,3,19802.99
90376,1,5,18352.28
90377,3,3,23089.26
90378,1,17,12899.46
90379,3,23,35576.62
90380,2,5,52950.48
90381,2,5,20453.10
90382,4,3,42495.22
90383,3,5,34617.40
90384,4,20,22308.30
90385,2,3,49025.90
90386,3,3,25724.31
90387,3,1,40163.87
90388,4,12,10713.50
90389,4,3,495.00
90390,3,5,12689.20
90391,1,5,34575.63
90392,4,5,25340.22
90393,1,20,23431.44
90394,1,22,48461.56
90395,3,23,48340.12
90396,2,5,29133.98
90397,1,3,25984.00
90398,1,3,25691.92
90399,3,12,2469.20
90400,2,5,21797.60
90401,4,1,59197.60
90402,3,3,33628.96
90403,1,5,18732.22
90404,1,9,16069.47
90405,3,9,13782.60
90406,4,3,35117.60
90407,4,9,28596.52
90408,1,12,36792.70
90409,2,12,39040.40
90410,4,3,16821.00
90411,2,3,35907.20
90412,1,3,5163.75
90413,3,9,18161.84
90414,1,5,28488.39
90415,3,5,15914.62
90416,2,5,49519.38
90417,2,17,45946.82
90418,2,3,26962.76
90419,1,3,26032.90
90420,4,5,6032.00
90421,2,8,30797.72
90422,4,5,25239.78
90423,2,9,18522.82
90424,1,23,35156.50
90425,2,20,47110.56
90426,4,23,38621.08
90427,2,20,39230.30
90428,1,20,1583.77
90429,2,5,42519.18
90430,2,12,33789.02
90431,1,12,50151.36
90432,4,19,27020.00
90433,3,3,31736.12
90434,1,3,26731.52
90435,3,3,31300.80
90436,2,20,0.00
90437,2,9,26545.12
90438,1,5,21171.40
90439,1,20,250.00
90440,4,1,8159.36
90441,3,21,20345.03
90442,2,5,80843.00
90443,2,9,23125.14
90444,4,5,22003.98
90445,4,5,17611.72
90446,1,20,23041.04
90447,3,5,32291.82
90448,2,20,51776.46
90449,3,1,33153.60
90450,2,5,32705.10
90451,1,3,22994.80
90452,3,8,22077.98
90453,4,3,18051.02
90454,2,5,51617.32
90455,3,3,23288.54
90456,3,12,21330.54
90457,3,3,31300.80
90458,3,20,23265.38
90459,3,5,17501.80
90460,2,5,129069.22
90461,2,20,42810.08
90462,4,1,22027.84
90463,1,12,24276.22
90464,2,5,21275.54
90465,3,3,30100.82
90466,4,3,39485.60
90467,2,0,-1347.84
90468,4,3,15863.40
90469,4,9,7724.64
90470,4,9,32404.84
90471,3,12,11810.82
90472,3,3,28449.28
90473,4,3,34951.96
90474,4,23,19135.00
90475,4,5,10340.49
90476,3,19,32395.96
90477,2,1,19322.80
90478,4,5,22341.82
90479,1,9,11291.48
90480,4,3,19043.50
90481,4,3,36517.60
90482,2,8,5850.00
90483,2,0,51271.26
90484,1,9,3910.23
90485,2,22,50157.66
90486,4,9,17805.12
90487,2,8,730.00
90488,4,1,68259.18
90489,3,5,24106.12
90490,2,5,20734.28
90491,3,3,16182.42
90492,3,20,8144.40
90493,3,5,5274.88
90494,2,5,28316.40
90495,3,3,36386.60
90496,4,12,13993.01
90497,1,5,25792.80
90498,2,3,48832.86
90499,3,9,17298.60
90500,2,20,41043.68
90501,1,3,21916.15
90502,4,5,15141.70
90503,4,19,50478.40
90504,3,20,36851.60
90505,3,14,39248.58
90506,4,20,250.00
90507,1,20,30151.19
90508,2,20,42146.98
90509,4,3,14592.20
90510,1,5,21705.40
90511,2,14,62450.06
90512,2,5,32676.78
90513,2,12,37635.34
90514,1,5,5223.04
90515,3,5,42834.88
90516,3,3,28453.75
90517,2,12,36286.72
90518,1,5,34176.00
90519,2,9,31765.46
90520,3,20,24276.48
90521,3,5,17094.98
90522,2,23,52944.22
90523,4,3,14592.20
90524,2,5,43630.12
90525,2,9,29168.08
90526,2,5,30365.96
90527,2,5,25744.08
90528,1,3,0.00
90529,2,5,51408.00
90530,1,20,18566.40
90531,1,5,94206.20
90532,3,3,31300.82
90533,2,18,42838.86
90534,4,14,18907.00
90535,3,1,13301.08
90536,4,5,22031.80
90537,1,12,53243.52
90538,1,23,19303.74
90539,3,5,19262.72
90540,1,6,21406.24
90541,4,8,40260.74
90542,4,3,22786.96
90543,4,23,35362.40
90544,1,12,21832.12
90545,2,13,62909.24
90546,3,3,21657.20
90547,1,3,29264.00
90548,3,3,24413.83
90549,2,5,20671.56
90550,1,19,43536.00
90551,2,3,41390.26
90552,4,12,17380.28
90553,4,6,17232.39
90554,3,1,19338.88
90555,3,20,12927.28
90556,2,3,29275.66
90557,4,5,23381.59
90558,3,23,21114.41
90559,4,9,15210.95
90560,1,7,14378.90
90561,1,10,32655.14
90562,2,5,29698.20
90563,4,16,29549.26
90564,4,13,12448.00
90565,4,12,18135.41
90566,3,20,39458.82
90567,3,12,30492.42
90568,2,5,129369.86
90569,3,5,112302.00
90570,4,23,16396.82
90571,1,1,32174.30
90572,2,9,2088.60
90573,3,5,16700.38
90574,2,9,31314.06
90575,4,12,17731.40
90576,2,3,36850.68
90577,1,5,29373.52
90578,3,5,14678.40
90579,2,12,39561.70
90580,1,9,13754.72
90581,3,17,25815.14
90582,2,3,41066.00
90583,3,13,19402.08
90584,1,20,35545.65
90585,3,3,15650.40
90586,3,20,17126.80
90587,2,5,28813.82
90588,1,5,34907.77
90589,2,5,13726.50
90590,1,5,44707.00
90591,2,1,39051.00
90592,4,3,37974.80
90593,4,20,8767.50
90594,3,20,17126.74
90595,2,3,36039.36
90596,4,5,22019.96
90597,4,3,21326.00
90598,4,9,18368.00
90599,1,1,44213.28
90600,2,20,44032.80
90601,3,3,20826.20
90602,2,1,60529.26
90603,1,12,10752.94
90604,4,6,16859.38
90605,2,5,33898.24
90606,2,5,0.00
90607,1,3,20304.00
90608,3,12,47437.48
90609,2,20,47578.64
90610,2,20,29588.66
90611,3,5,22394.40
90612,4,3,39751.20
90613,3,20,250.00
90614,4,5,174099.80
90615,3,19,43267.20
90616,4,14,10310.90
90617,3,9,19920.02
90618,1,3,30596.04
90619,4,9,11776.33
90620,3,23,23057.28
90621,2,20,28617.38
90622,4,3,20788.30
90623,4,9,22615.68
90624,2,5,129073.08
90625,4,6,14911.65
90626,4,21,27496.00
90627,2,6,50261.14
90628,3,20,21041.20
90629,4,5,13326.13
90630,1,20,14840.94
90631,2,5,7624.04
90632,4,12,17731.38
90633,1,9,0.00
90634,2,5,30515.20
90635,2,5,29732.20
90636,2,20,250.00
90637,1,5,33584.10
90638,3,3,3315.76
90639,1,16,39250.80
90640,2,3,40529.50
90641,1,5,18658.72
90642,3,5,25455.60
90643,3,9,13393.66
90644,4,20,12747.38
90645,4,5,16050.30
90646,2,1,58945.16
90647,3,5,15352.70
90648,1,21,27152.80
90649,1,3,28148.72
90650,2,22,73486.00
90651,4,19,48193.60
90652,1,5,18218.64
90653,2,20,25635.66
90654,2,5,22031.80
90655,3,3,21966.20
90656,1,3,20004.88
90657,3,5,12718.74
90658,4,5,24567.20
90659,3,3,22220.19
90660,2,5,48353.88
90661,2,12,55532.96
90662,4,5,26348.70
90663,3,9,15081.00
90664,1,12,26807.56
90665,2,5,7676.48
90666,1,5,44707.01
90667,4,1,26404.00
90668,3,3,33844.80
90669,3,5,15913.60
90670,3,12,19134.76
90671,3,3,19129.62
90672,1,12,10332.13
90673,2,20,34250.56
90674,2,5,81312.42
90675,4,9,11793.60
90676,1,5,8450.02
90677,3,20,15927.88
90678,4,20,250.00
90679,1,5,151269.38
90680,3,9,16625.00
90681,3,5,8359.95
90682,2,3,22300.30
90683,2,9,28596.88
90684,1,22,3811.04
90685,2,23,18217.94
90686,3,3,23052.07
90687,3,9,22878.30
90688,1,5,20578.71
90689,3,9,23343.44
90690,3,9,22881.60
90691,1,20,28972.85
90692,4,3,19095.72
90693,1,3,30664.80
90694,4,20,15059.17
90695,3,5,15261.48
90696,2,23,48298.80
90697,1,5,29122.80
90698,3,20,25497.59
90699,1,3,26032.88
90700,4,12,32957.12
90701,2,5,62117.20
90702,3,3,20773.39
90703,2,3,36517.60
90704,2,9,33429.58
90705,3,12,39315.20
90706,4,5,40700.00
90707,1,3,23966.04
90708,2,3,38616.28
90709,4,3,17789.48
90710,3,3,7504.56
90711,1,5,23314.58
90712,3,3,36217.60
90713,4,5,25888.24
90714,4,3,36517.60
90715,1,3,45282.14
90716,1,3,46303.12
90717,4,5,35266.83
90718,1,3,28148.72
90719,1,3,24916.72
90720,3,3,27648.00
90721,1,19,21633.60
90722,1,5,12628.08
90723,3,3,28327.00
90724,4,20,34950.82
90725,3,5,18253.20
90726,2,8,1325.38
90727,2,5,20090.38
90728,4,20,22440.54
90729,1,20,21300.40
90730,4,5,19790.52
90731,4,5,11010.07
90732,3,1,31175.00
90733,3,5,14636.14
90734,1,5,89461.32
90735,4,3,46096.90
90736,4,20,125.00
90737,4,5,30669.00
90738,2,3,54149.76
90739,3,5,18362.61
90740,1,9,32332.56
90741,2,12,54065.16
90742,1,3,5390.88
90743,3,3,24354.40
90744,4,3,13615.00
90745,4,3,18116.65
90746,3,9,26250.00
90747,2,5,17322.40
90748,2,3,37974.80
90749,4,3,19414.14
90750,1,5,42834.80
90751,3,12,46269.14
90752,1,20,3171.86
90753,1,20,25667.90
90754,1,3,25563.92
90755,3,23,13804.80
90756,4,12,18188.24
90757,4,9,10282.60
90758,3,3,18040.75
90759,1,3,29275.33
90760,3,3,30100.80
90761,2,3,30175.48
90762,1,3,28909.02
90763,2,5,51073.20
90764,4,5,27888.00
90765,3,23,33902.40
90766,2,6,22616.04
90767,2,5,46364.92
90768,4,1,13102.99
90769,2,12,33390.56
90770,2,5,15683.38
90771,2,16,37449.60
90772,1,3,17543.84
90773,2,9,53882.00
90774,4,6,16009.25
90775,3,5,19597.80
90776,4,3,37497.60
90777,2,5,169615.32
90778,4,3,23305.10
90779,4,5,41372.80
90780,3,19,43728.00
90781,3,20,23057.20
90782,3,20,25497.59
90783,3,18,21935.35
90784,1,3,29485.42
90785,1,12,27016.83
90786,1,3,34035.32
90787,1,8,16504.98
90788,2,5,27091.22
90789,3,20,22079.88
90790,3,12,30529.62
90791,1,3,37352.41
90792,3,3,26350.80
90793,4,5,34812.40
90794,2,20,25971.66
90795,4,5,32253.22
90796,1,3,33160.16
90797,3,3,18232.00
90798,2,9,23763.60
90799,3,6,20094.26
90800,4,19,51632.00
90801,2,7,27781.64
90802,2,1,30548.02
90803,1,12,17773.12
90804,2,3,44646.30
90805,1,20,42138.62
90806,4,20,29179.08
90807,4,12,36158.08
90808,4,19,13276.20
90809,2,12,34062.56
90810,4,5,15476.65
90811,1,12,24820.87
90812,4,5,10938.60
90813,2,19,52920.00
90814,1,9,16567.43
90815,3,3,30100.80
90816,1,12,23850.38
90817,3,3,17862.41
90818,2,5,31872.46
90819,2,9,23010.74
90820,3,5,25766.40
90821,2,3,42864.72
90822,4,3,14891.00
90823,4,20,44032.80
90824,1,5,56100.03
90825,2,12,31248.64
90826,1,3,60768.56
90827,3,20,26118.82
90828,4,3,19043.50
90829,3,3,40089.28
90830,4,1,47499.20
90831,4,3,41066.02
90832,1,20,28855.82
90833,4,3,21415.10
90834,1,3,34327.30
90835,1,6,22360.54
90836,3,20,8144.40
90837,3,20,13950.84
90838,4,5,38019.26
90839,1,14,50151.36
90840,3,5,35962.35
90841,3,3,18232.00
90842,2,5,15614.86
90843,1,5,0.00
90844,2,3,39485.60
90845,2,5,52572.24
90846,2,9,30523.30
90847,2,6,49077.72
90848,3,5,103864.40
90849,2,17,52555.52
90850,4,3,47764.66
90851,1,0,36538.50
90852,4,5,13985.03
90853,2,9,13382.40
90854,2,3,31435.44
90855,1,9,35368.82
90856,4,3,19774.40
90857,3,20,20831.16
90858,1,3,35859.38
90859,4,20,12815.06
90860,1,3,12788.58
90861,1,5,14023.21
90862,4,12,25297.68
90863,2,9,32018.16
90864,3,20,15392.88
90865,2,3,39853.98
90866,4,5,22465.96
90867,2,3,37792.96
90868,2,5,26995.98
90869,2,6,0.00
90870,3,5,36789.77
90871,3,5,23442.20
90872,2,5,65782.00
90873,1,3,41539.66
90874,1,3,26032.88
90875,4,5,27462.74
90876,1,23,28147.98
90877,4,22,25191.18
90878,2,20,25410.26
90879,1,3,24944.20
90880,3,20,15002.74
90881,4,1,30870.00
90882,1,20,37542.92
90883,1,5,14426.15
90884,3,18,31727.33
90885,2,5,27039.42
90886,1,3,29275.33
90887,1,20,22243.08
90888,3,5,13047.64
90889,4,5,7612.90
90890,3,20,53997.20
90891,4,9,16048.11
90892,4,5,20520.76
90893,4,5,25953.93
90894,4,3,31337.60
90895,1,3,31470.14
