,Fiscal Quarter,Bureau,Base Pay
89730,2,20,43961.40
89731,4,5,50005.20
89732,3,3,519.87
89733,1,3,31470.18
89734,2,5,16262.32
89735,3,5,13601.48
89736,1,5,0.00
89737,3,3,21657.18
89738,1,3,45766.56
89739,4,3,32687.66
89740,3,20,36668.18
89741,2,20,250.00
89742,4,3,20325.90
89743,4,20,22420.30
89744,2,5,118524.00
89745,2,3,41990.12
89746,4,3,18791.25
89747,2,5,63185.24
89748,4,12,35444.68
89749,2,5,37958.00
89750,1,5,0.00
89751,1,20,250.00
89752,1,3,30664.80
89753,2,20,45514.76
89754,3,12,29346.60
89755,1,9,0.00
89756,4,3,19803.00
89757,4,5,45590.22
89758,2,9,23306.24
89759,3,6,49994.64
89760,3,20,22508.34
89761,4,20,125.00
89762,2,3,35885.92
89763,1,20,6110.14
89764,2,3,35117.60
89765,1,3,0.00
89766,1,3,25034.81
89767,1,3,28148.71
89768,1,23,33606.40
89769,2,19,52920.00
89770,4,9,13267.33
89771,1,5,33984.93
89772,3,5,10122.62
89773,2,3,34495.80
89774,3,5,96534.11
89775,4,3,19803.00
89776,2,9,49013.58
89777,4,12,66116.94
89778,1,5,20322.08
89779,2,5,24396.10
89780,3,5,15530.02
89781,3,3,23115.60
89782,2,12,32904.38
89783,1,5,34772.85
89784,1,19,5977.60
89785,3,1,19586.92
89786,2,3,44783.20
89787,4,18,62584.06
89788,1,5,84955.20
89789,1,3,8950.76
89790,3,3,23416.60
89791,3,3,29958.80
89792,4,3,19043.50
89793,1,5,35662.83
89794,3,12,40845.66
89795,2,3,37974.80
89796,1,20,32817.86
89797,4,13,33548.76
89798,2,20,41043.60
89799,3,5,18328.36
89800,1,3,19948.80
89801,2,5,18853.36
89802,3,19,10899.36
89803,2,22,29516.22
89804,4,9,18534.36
89805,2,20,19210.76
89806,3,5,28576.99
89807,1,5,94655.40
89808,4,5,13642.80
89809,3,5,31447.90
89810,4,5,14133.03
89811,2,3,37339.44
89812,1,1,33861.44
89813,4,5,32046.84
89814,1,5,119230.00
89815,2,3,37497.60
89816,2,9,30625.20
89817,2,20,250.00
89818,2,20,250.00
89819,2,5,165549.78
89820,1,5,30675.96
89821,4,22,22291.38
89822,2,3,38989.30
89823,4,1,16571.14
89824,1,20,23243.18
89825,4,8,7621.59
89826,3,19,30665.60
89827,2,9,11143.80
89828,2,9,23763.58
89829,1,20,22693.18
89830,4,20,125.00
89831,3,3,21373.20
89832,1,9,26719.14
89833,2,3,40373.36
